ID,Edad,Ciudad,Puntaje,Ingreso
1,56,Toluca,78,33234
2,46,Guadalajara,73,24786
3,32,CDMX,87,42100
4,60,Toluca,61,20329
5,25,CDMX,78,20698
6,38,Monterrey,71,30327
7,56,Monterrey,85,21548
8,36,Monterrey,50,44757
9,40,Toluca,92,23340
10,28,Monterrey,89,8860
11,28,Guadalajara,83,24159
12,41,Guadalajara,83,32865
13,53,Toluca,97,39536
14,57,CDMX,82,36755
15,41,Puebla,53,18743
16,20,CDMX,87,11226
17,39,CDMX,79,17718
18,19,CDMX,95,49656
19,41,CDMX,69,44389
20,61,Puebla,75,30530
21,47,Monterrey,64,37908
22,55,CDMX,56,6650
23,19,Guadalajara,56,45653
24,38,Toluca,99,38783
25,50,Toluca,78,46302
26,29,Guadalajara,72,11292
27,39,CDMX,83,27737
28,61,Puebla,69,30551
29,42,Monterrey,64,48543
30,44,Toluca,82,24504
31,59,Monterrey,66,21371
32,45,Puebla,69,25810
33,33,Toluca,62,34036
34,32,Monterrey,93,20547
35,64,Puebla,73,32203
36,61,Monterrey,96,14305
37,20,CDMX,86,13813
38,54,Puebla,56,5900
39,24,Monterrey,57,8747
40,38,CDMX,72,28245
41,26,CDMX,63,8103
42,56,Puebla,53,46286
43,35,Guadalajara,70,5073
44,21,Toluca,95,7497
45,42,Puebla,59,34577
46,31,CDMX,71,26012
47,26,CDMX,79,13487
48,43,Puebla,79,35023
49,19,Guadalajara,65,29877
50,37,Toluca,60,11517
51,45,Monterrey,71,49584
52,64,Puebla,78,46012
53,24,Toluca,74,10615
54,61,Toluca,63,15468
55,25,CDMX,63,15879
56,64,Monterrey,51,36955
57,52,Puebla,62,18078
58,31,CDMX,52,9590
59,34,CDMX,79,15910
60,53,Guadalajara,67,49895
61,57,Toluca,85,36976
62,21,Puebla,70,26574
63,19,Puebla,68,45652
64,23,Puebla,65,27716
65,59,CDMX,77,38430
66,21,Guadalajara,53,13199
67,46,Monterrey,64,38436
68,35,CDMX,50,32740
69,43,Monterrey,97,14477
70,61,Guadalajara,96,5160
71,51,Toluca,65,48358
72,27,Puebla,69,49205
73,53,Monterrey,82,11460
74,31,CDMX,66,21401
75,48,Monterrey,54,40301
76,32,Toluca,54,27894
77,25,Puebla,88,42214
78,31,Monterrey,62,43322
79,40,Toluca,93,48277
80,57,CDMX,85,7918
81,38,Guadalajara,79,30629
82,33,CDMX,53,21699
83,62,Puebla,72,12069
84,35,CDMX,70,46279
85,64,CDMX,70,44190
86,41,CDMX,55,9527
87,43,CDMX,73,24099
88,42,Puebla,96,20622
89,62,Toluca,80,31281
90,58,Monterrey,68,44433
91,46,Guadalajara,87,44875
92,32,Monterrey,61,20531
93,62,Monterrey,63,10132
94,18,Guadalajara,99,34396
95,42,Puebla,61,48239
96,24,Guadalajara,64,46430
97,26,Puebla,68,32807
98,41,Monterrey,77,44550
99,18,Puebla,89,32196
100,61,Toluca,90,20993
101,25,Guadalajara,54,30958
102,41,Toluca,54,44513
103,28,Monterrey,55,43402
104,34,Guadalajara,72,44028
105,25,Monterrey,52,19945
106,52,Toluca,86,22569
107,52,Monterrey,82,28379
108,50,Guadalajara,92,43877
109,22,Guadalajara,70,27825
110,59,Monterrey,69,5915
111,56,Guadalajara,50,28848
112,58,Guadalajara,88,18669
113,45,Monterrey,96,14875
114,24,Toluca,66,19853
115,26,Guadalajara,78,7425
116,25,Guadalajara,57,37440
117,29,Guadalajara,75,38193
118,51,Guadalajara,77,39555
119,50,Monterrey,83,40352
120,40,Toluca,75,42416
121,41,Toluca,62,21552
122,54,Puebla,93,38282
123,52,Guadalajara,86,41203
124,61,Guadalajara,62,42293
125,57,Puebla,87,24000
126,39,Toluca,74,35802
127,44,CDMX,96,15569
128,52,CDMX,72,30266
129,18,Toluca,71,8204
130,52,Guadalajara,70,12765
131,54,CDMX,79,15696
132,64,Monterrey,60,29928
133,31,Monterrey,53,19679
134,20,Puebla,82,38885
135,18,Toluca,96,39173
136,22,Toluca,61,49899
137,43,CDMX,58,43182
138,31,Guadalajara,81,44109
139,56,Toluca,60,9174
140,44,CDMX,86,22061
141,26,CDMX,73,46510
142,32,Toluca,56,30395
143,32,CDMX,57,5213
144,43,Puebla,82,39434
145,59,Puebla,74,18276
146,30,Toluca,50,14085
147,49,Guadalajara,52,33481
148,56,Puebla,89,36276
149,49,Puebla,77,29597
150,21,Toluca,92,27244
151,47,Monterrey,82,35601
152,54,CDMX,95,39029
153,40,Puebla,50,26264
154,56,Monterrey,87,18890
155,62,Guadalajara,76,47852
156,32,Monterrey,87,26058
157,60,Toluca,84,21121
158,46,Guadalajara,59,42964
159,53,Guadalajara,61,42352
160,30,Monterrey,59,10021
161,49,Toluca,83,27614
162,24,Puebla,73,47950
163,39,Monterrey,77,48420
164,45,Puebla,71,7631
165,19,Monterrey,94,11345
166,59,Puebla,65,45864
167,62,Monterrey,62,31844
168,23,Guadalajara,85,11300
169,45,CDMX,85,43612
170,45,Guadalajara,92,23560
171,61,Puebla,72,10362
172,61,Toluca,63,13097
173,37,Guadalajara,81,10599
174,47,CDMX,52,30452
175,28,Puebla,76,9258
176,45,Guadalajara,68,30530
177,42,Monterrey,71,11640
178,56,Toluca,50,42056
179,50,Puebla,54,22261
180,18,Guadalajara,98,42827
181,44,Puebla,82,20141
182,30,Monterrey,68,31752
183,58,CDMX,85,28548
184,20,Guadalajara,55,40368
185,56,Puebla,64,20902
186,23,Puebla,85,32683
187,25,Puebla,82,23792
188,44,CDMX,73,42628
189,26,Puebla,76,47933
190,54,Toluca,98,7334
191,50,Toluca,60,5767
192,59,Puebla,98,36644
193,61,Toluca,72,31992
194,41,Guadalajara,82,34570
195,32,Toluca,90,16737
196,49,Puebla,95,18372
197,49,Monterrey,96,31885
198,41,Guadalajara,78,25590
199,58,CDMX,80,44853
200,29,Puebla,50,5744
201,56,CDMX,83,32158
202,19,Monterrey,67,25558
203,20,CDMX,67,37259
204,54,Puebla,55,26450
205,34,Puebla,89,41929
206,19,Monterrey,50,14586
207,19,Puebla,96,5286
208,45,Monterrey,91,8247
209,40,Monterrey,79,36974
210,54,Puebla,53,48562
211,49,Toluca,81,10099
212,50,Monterrey,59,21387
213,18,Puebla,92,27319
214,36,Toluca,54,5411
215,19,Monterrey,58,25729
216,61,Toluca,54,25111
217,43,Guadalajara,60,20704
218,49,Guadalajara,84,15109
219,23,Toluca,76,6356
220,49,Monterrey,53,36172
221,21,Puebla,59,13349
222,28,CDMX,88,22984
223,34,Puebla,82,32460
224,55,CDMX,87,43474
225,41,CDMX,57,49449
226,22,Monterrey,98,12196
227,51,Toluca,73,26457
228,23,Puebla,88,18549
229,39,Toluca,82,14821
230,28,Guadalajara,90,40564
231,33,Monterrey,92,16073
232,50,Monterrey,68,12282
233,26,Guadalajara,51,44719
234,23,Puebla,60,24189
235,33,Guadalajara,84,41848
236,46,Puebla,66,49430
237,20,CDMX,91,14247
238,37,Monterrey,52,15771
239,53,Puebla,71,48725
240,36,Toluca,84,27234
241,43,Toluca,70,28746
242,20,Monterrey,74,39096
243,36,Guadalajara,88,17236
244,37,Guadalajara,51,40921
245,49,Puebla,50,29576
246,24,Guadalajara,56,5166
247,58,Monterrey,69,19652
248,50,Puebla,92,24638
249,57,CDMX,55,26444
250,56,Guadalajara,85,20233
251,35,Guadalajara,70,6885
252,57,Puebla,95,35364
253,18,Toluca,84,19708
254,28,Guadalajara,85,45297
255,45,Monterrey,57,38667
256,42,Guadalajara,99,40016
257,40,CDMX,53,49223
258,48,Guadalajara,92,8412
259,47,Toluca,65,16769
260,59,Guadalajara,52,20947
261,52,Puebla,56,48147
262,24,Guadalajara,51,11449
263,33,Toluca,50,47179
264,43,Puebla,50,40900
265,19,Monterrey,87,45923
266,18,Puebla,56,13136
267,29,CDMX,73,38127
268,22,Puebla,54,11450
269,54,Monterrey,70,47999
270,49,Guadalajara,77,29031
271,26,Puebla,67,36052
272,58,Puebla,73,16346
273,52,Puebla,81,19852
274,36,Puebla,94,12067
275,33,Monterrey,82,36485
276,20,Toluca,59,14689
277,37,Toluca,58,22801
278,41,Puebla,98,45535
279,50,Monterrey,82,29272
280,41,Monterrey,82,8763
281,28,Puebla,56,44696
282,25,CDMX,53,35075
283,53,Puebla,77,33692
284,55,CDMX,72,31549
285,57,Puebla,81,5878
286,37,CDMX,93,33848
287,52,CDMX,65,35741
288,42,Puebla,95,24268
289,52,CDMX,59,15787
290,42,Guadalajara,63,46620
291,46,Toluca,88,36671
292,35,Monterrey,85,16336
293,63,CDMX,83,32738
294,35,CDMX,73,18487
295,19,Monterrey,67,45139
296,52,CDMX,65,39037
297,33,Monterrey,90,17898
298,58,Puebla,86,22678
299,53,Guadalajara,90,48051
300,50,Guadalajara,74,23141
301,21,Toluca,57,15156
302,50,CDMX,73,29160
303,31,Toluca,69,17835
304,38,Puebla,97,14383
305,37,Guadalajara,79,44346
306,25,Puebla,69,29564
307,24,Puebla,67,47013
308,20,CDMX,53,24225
309,34,Puebla,97,43484
310,50,Guadalajara,85,24946
311,29,Toluca,55,33280
312,39,Guadalajara,52,47782
313,39,CDMX,67,31295
314,63,Guadalajara,96,37700
315,47,Monterrey,89,40536
316,55,Toluca,67,37609
317,55,Monterrey,72,14751
318,62,Monterrey,84,13928
319,25,CDMX,55,11142
320,44,Puebla,75,21257
321,44,Monterrey,70,27650
322,51,Guadalajara,73,43181
323,38,Puebla,64,28212
324,47,Guadalajara,76,7190
325,50,Guadalajara,81,6002
326,45,Puebla,61,48945
327,64,Puebla,54,47882
